UPC,ePID,Title,Brand,Format,Genre,Release Year,Actors,Directors,Studio,Rating,Primary Image URL,Product Web URL,Fetched At
041778369029,3133179,"Sierra Club Series, The - Caribou: The Incredible Journey (VHS)",,,Education/General Interest,,,,,NR,,https://www.ebay.com/p/3133179,2026-03-14T14:26:13.970807
075051640932,3142559,"Undersea World of Jacques Cousteau - Vol. 8: The Flight of Penguins (VHS, 1989)",,,Education/General Interest,,,,,NR,,https://www.ebay.com/p/3142559,2026-03-14T14:26:13.969757
041778435267,3142762,"Sierra Club Series, The - Tiger, Tiger (VHS)",,,Education/General Interest,,,,,NR,,https://www.ebay.com/p/3142762,2026-03-14T14:26:13.967501
074101611205,1100073956,Fujifilm HQ T-120 Blank VHS Tape,Fujifilm,,,,,,,,https://i.ebayimg.com/images/g/0NsAAOSwIUZhNb~O/s-l640.jpg,https://www.ebay.com/p/1100073956,2026-03-14T14:26:13.963660
089841807528,3362732,"The Good Life by Dennis Patton (CD, 1998, Unison)",Unison,CD,Rock,1998,,,,,https://i.ebayimg.com/12/!!eC++-g!2M~$(KGrHqIOKm8Ez36WsE)QBNSBBjKTIg~~_57.JPG?set_id=89040003C1,https://www.ebay.com/p/3362732,2026-03-14T01:19:54.552875
724359610528,46923810,"A Million in Prizes: The Anthology [PA] by Iggy Pop (CD, Jul-2005, 2 Discs, Virgin)",Virgin,CD,Rock,2005,,,,,https://i.ebayimg.com/images/g/2qYAAOSwhvFZE0n4/s-l640.jpg,https://www.ebay.com/p/46923810,2026-03-14T01:19:54.551028
724359610528,28070911257,"Million in Prizes: the Anthology by Iggy Pop (CD, 2005)",Vir,CD,Rock,2005,,,,,https://i.ebayimg.com/images/g/MoQAAOSw1b9myxB3/s-l1600.jpg,https://www.ebay.com/p/28070911257,2026-03-14T01:19:54.549139
077776431826,80305225,"It's a Breeze by André Previn/Itzhak Perlman (CD, 1992)",,CD,Jazz,1992,,,,,https://i.ebayimg.com/images/g/rRMAAOSwGUBZ-oyk/s-l640.jpg,https://www.ebay.com/p/80305225,2026-03-14T01:19:54.547857
854206001299,229192471,"The Ultimate Hits by Garth Brooks (CD, 2016, 2 Discs, Pearl)",Pearl Records,CD,Country,,,,,,https://i.ebayimg.com/images/g/BtYAAOSwMoBf6c5H/s-l640.jpg,https://www.ebay.com/p/229192471,2026-03-14T01:19:54.545507
888837083829,15046069780,"Kinky Boots by Kinky Boots / O.B.C. (CD, 2013)",Masterworks,CD,Cast Recordings,2013,,,,,https://i.ebayimg.com/00/s/NDk2WDUwMA==/z/b6YAAOSwFHlghuqD/$_57.JPG,https://www.ebay.com/p/15046069780,2026-03-14T01:19:54.544395
854206001299,17070908166,"Ultimate Hits by Garth Brooks (CD, 2016)",Pearl Records-Terms,CD,Country,2016,,,,,https://i.ebayimg.com/images/g/swgAAOSw1ulmyxMD/s-l1600.jpg,https://www.ebay.com/p/17070908166,2026-03-14T01:19:54.542496
074646955024,16046043066,"Holiday Songs & Lullabies by Colvin, Shawn (CD, 1998)",Sny,CD,Rock,1998,,,,,https://i.ebayimg.com/00/s/NTAwWDUwMA==/z/h5gAAOSwj0NkpXaT/$_57.JPG,https://www.ebay.com/p/16046043066,2026-03-14T01:19:54.541365
077776431826,27070894179,"It's a Breeze; Previn, Perlman by It's a Breeze; Previn, Perlman (CD, 2007)",NXS,CD,Misc Product,2007,,,,,,https://www.ebay.com/p/27070894179,2026-03-14T01:19:54.538322
